KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa04390	Hippo signaling pathway	0.0063048583118415925	0.7029917017703375	157	16
path:hsa04512	ECM-receptor interaction	0.00497334369289764	0.7029917017703375	88	11
path:hsa00010	Glycolysis / Gluconeogenesis	0.8643226911142332	0.9999998860164184	67	2
path:hsa00030	Pentose phosphate pathway	0.458486840546689	0.9999998860164184	30	2
path:hsa00051	Fructose and mannose metabolism	0.08569103010650853	0.9999998860164184	33	4
path:hsa00052	Galactose metabolism	0.8042019729055835	0.9999998860164184	31	1
path:hsa00061	Fatty acid biosynthesis	0.611693014132824	0.9999998860164184	18	1
path:hsa00062	Fatty acid elongation	0.40514174929613683	0.9999998860164184	27	2
path:hsa00071	Fatty acid degradation	0.6536706322415137	0.9999998860164184	43	2
path:hsa00100	Steroid biosynthesis	0.2727198723473421	0.9999998860164184	20	2
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.4388663881271252	0.9999998860164184	11	1
path:hsa00140	Steroid hormone biosynthesis	0.3801940462330211	0.9999998860164184	61	4
path:hsa00190	Oxidative phosphorylation	0.14729140832557217	0.9999998860164184	134	10
path:hsa00230	Purine metabolism	0.9059401320366623	0.9999998860164184	130	4
path:hsa00240	Pyrimidine metabolism	0.5516409756999657	0.9999998860164184	56	3
path:hsa00260	Glycine, serine and threonine metabolism	0.3358770946261176	0.9999998860164184	40	3
path:hsa00270	Cysteine and methionine metabolism	0.4748259245179001	0.9999998860164184	50	3
path:hsa00280	Valine, leucine and isoleucine degradation	0.9201812888497323	0.9999998860164184	48	1
path:hsa00310	Lysine degradation	0.6323107897539588	0.9999998860164184	63	3
path:hsa00330	Arginine and proline metabolism	0.9318863043343475	0.9999998860164184	51	1
path:hsa00350	Tyrosine metabolism	0.5562617988856584	0.9999998860164184	36	2
path:hsa00380	Tryptophan metabolism	0.6408699251745409	0.9999998860164184	42	2
path:hsa00440	Phosphonate and phosphinate metabolism	0.27024672561707735	0.9999998860164184	6	1
path:hsa00450	Selenocompound metabolism	0.5907142619151668	0.9999998860164184	17	1
path:hsa00480	Glutathione metabolism	0.950408807577592	0.9999998860164184	57	1
path:hsa00500	Starch and sucrose metabolism	0.849585915224722	0.9999998860164184	36	1
path:hsa00510	N-Glycan biosynthesis	0.2516408729494964	0.9999998860164184	50	4
path:hsa00511	Other glycan degradation	0.23407547421535294	0.9999998860164184	18	2
path:hsa00513	Various types of N-glycan biosynthesis	0.6002451403513133	0.9999998860164184	39	2
path:hsa00514	Other types of O-glycan biosynthesis	0.434229354168406	0.9999998860164184	47	3
path:hsa00520	Amino sugar and nucleotide sugar metabolism	0.09680990335561143	0.9999998860164184	48	5
