KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa04360	Axon guidance	2.469820351717089e-05	0.0049149424999170065	182	19
path:hsa04724	Glutamatergic synapse	0.0007339841250299808	0.07303142044048308	114	12
path:hsa04721	Synaptic vesicle cycle	0.0017629279746412593	0.11694088898453686	78	9
path:hsa00512	Mucin type O-glycan biosynthesis	0.005151976565754989	0.20504866731704854	32	5
path:hsa04024	cAMP signaling pathway	0.004520343660914649	0.20504866731704854	216	16
path:hsa04350	TGF-beta signaling pathway	0.006267301302522038	0.20786549320031425	94	9
path:hsa00514	Other types of O-glycan biosynthesis	0.025462033777589602	0.5841640719604899	47	5
path:hsa02010	ABC transporters	0.02147621903637557	0.5841640719604899	45	5
path:hsa04933	AGE-RAGE signaling pathway in diabetic complications	0.026419480641429197	0.5841640719604899	100	8
path:hsa04145	Phagosome	0.04570551338798194	0.7244099140207936	152	10
path:hsa04512	ECM-receptor interaction	0.037658598870959334	0.7244099140207936	88	7
path:hsa04728	Dopaminergic synapse	0.04674822513769436	0.7244099140207936	132	9
path:hsa04964	Proximal tubule bicarbonate reclamation	0.047323260714926214	0.7244099140207936	23	3
path:hsa00260	Glycine, serine and threonine metabolism	0.053510210270913176	0.760609417422266	40	4
path:hsa01040	Biosynthesis of unsaturated fatty acids	0.07048729126727493	0.7684604405849502	27	3
path:hsa04012	ErbB signaling pathway	0.0833359031590047	0.7684604405849502	85	6
path:hsa04070	Phosphatidylinositol signaling system	0.05839870687802974	0.7684604405849502	97	7
path:hsa04261	Adrenergic signaling in cardiomyocytes	0.08881703584650177	0.7684604405849502	150	9
path:hsa04392	Hippo signaling pathway	0.0836484439225317	0.7684604405849502	29	3
path:hsa04514	Cell adhesion molecules	0.08603123664800588	0.7684604405849502	149	9
path:hsa04550	Signaling pathways regulating pluripotency of stem cells	0.07043333084422346	0.7684604405849502	143	9
path:hsa04919	Thyroid hormone signaling pathway	0.06802741869483718	0.7684604405849502	121	8
path:hsa04929	GnRH secretion	0.07815200779428938	0.7684604405849502	64	5
path:hsa00051	Fructose and mannose metabolism	0.11278667281581517	0.8098925596145753	33	3
path:hsa00360	Phenylalanine metabolism	0.12209435572079025	0.8098925596145753	17	2
path:hsa00562	Inositol phosphate metabolism	0.11974425678261673	0.8098925596145753	73	5
path:hsa00780	Biotin metabolism	0.10359777831907671	0.8098925596145753	3	1
path:hsa04115	p53 signaling pathway	0.11974425678261673	0.8098925596145753	73	5
path:hsa04510	Focal adhesion	0.10588645508226838	0.8098925596145753	201	11
path:hsa04961	Endocrine and other factor-regulated calcium reabsorption	0.12060165052168187	0.8098925596145753	53	4
path:hsa00350	Tyrosine metabolism	0.13680631745792718	0.8292342277577005	36	3
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis	0.1666508955787014	0.8292342277577005	5	1
path:hsa00532	Glycosaminoglycan biosynthesis	0.159301461859078	0.8292342277577005	20	2
path:hsa01212	Fatty acid metabolism	0.14620962616756997	0.8292342277577005	57	4
path:hsa04080	Neuroactive ligand-receptor interaction	0.1616682007897636	0.8292342277577005	341	16
path:hsa04730	Long-term depression	0.16668024678546745	0.8292342277577005	60	4
path:hsa04914	Progesterone-mediated oocyte maturation	0.14807921795062418	0.8292342277577005	100	6
path:hsa04960	Aldosterone-regulated sodium reabsorption	0.14517312172632105	0.8292342277577005	37	3
path:hsa04974	Protein digestion and absorption	0.16318499237090195	0.8292342277577005	103	6
path:hsa04978	Mineral absorption	0.1597450583625449	0.8292342277577005	59	4
path:hsa00340	Histidine metabolism	0.18511912757403362	0.8985050338349436	22	2
path:hsa00515	Mannose type O-glycan biosynthesis	0.1982425434670612	0.9392920511891709	23	2
path:hsa04014	Ras signaling pathway	0.20901044252862971	0.9642583277421468	232	11
path:hsa04727	GABAergic synapse	0.21320284633494702	0.9642583277421468	89	5
path:hsa00010	Glycolysis / Gluconeogenesis	0.9140221913710392	0.9990716253856844	67	1
path:hsa00020	Citrate cycle (TCA cycle)	0.665714816902119	0.9990716253856844	30	1
path:hsa00052	Galactose metabolism	0.6777303822341538	0.9990716253856844	31	1
path:hsa00061	Fatty acid biosynthesis	0.48154167445972795	0.9990716253856844	18	1
path:hsa00062	Fatty acid elongation	0.6269244106139122	0.9990716253856844	27	1
path:hsa00071	Fatty acid degradation	0.7923799215655777	0.9990716253856844	43	1
path:hsa00072	Synthesis and degradation of ketone bodies	0.3056191443513738	0.9990716253856844	10	1
path:hsa00100	Steroid biosynthesis	0.518085128917254	0.9990716253856844	20	1
path:hsa00190	Oxidative phosphorylation	0.9547948846765252	0.9990716253856844	133	2
path:hsa00230	Purine metabolism	0.8503472404891824	0.9990716253856844	130	3
path:hsa00240	Pyrimidine metabolism	0.6108875703161334	0.9990716253856844	57	2
path:hsa00250	Alanine, aspartate and glutamate metabolism	0.7413066904769121	0.9990716253856844	37	1
path:hsa00280	Valine, leucine and isoleucine degradation	0.24586889469084133	0.9990716253856844	48	3
path:hsa00310	Lysine degradation	0.900392625347424	0.9990716253856844	63	1
path:hsa00330	Arginine and proline metabolism	0.2751127223038532	0.9990716253856844	51	3
path:hsa00380	Tryptophan metabolism	0.44682357770372183	0.9990716253856844	42	2
path:hsa00410	beta-Alanine metabolism	0.665714816902119	0.9990716253856844	30	1
path:hsa00500	Starch and sucrose metabolism	0.3712080809339744	0.9990716253856844	36	2
path:hsa00510	N-Glycan biosynthesis	0.8394054595165972	0.9990716253856844	50	1
path:hsa00513	Various types of N-glycan biosynthesis	0.7595882643400702	0.9990716253856844	39	1
path:hsa00520	Amino sugar and nucleotide sugar metabolism	0.8271735068414198	0.9990716253856844	48	1
path:hsa00531	Glycosaminoglycan degradation	0.5001459455623991	0.9990716253856844	19	1
path:hsa00561	Glycerolipid metabolism	0.892791224160347	0.9990716253856844	61	1
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.5986049692446627	0.9990716253856844	25	1
path:hsa00564	Glycerophospholipid metabolism	0.972592021091991	0.9990716253856844	98	1
path:hsa00600	Sphingolipid metabolism	0.8334012702738447	0.9990716253856844	49	1
path:hsa00601	Glycosphingolipid biosynthesis	0.6269244106139122	0.9990716253856844	27	1
path:hsa00604	Glycosphingolipid biosynthesis	0.4214882062797237	0.9990716253856844	15	1
path:hsa00620	Pyruvate metabolism	0.5058095490955321	0.9990716253856844	47	2
path:hsa00630	Glyoxylate and dicarboxylate metabolism	0.665714816902119	0.9990716253856844	30	1
path:hsa00640	Propanoate metabolism	0.7112563237358387	0.9990716253856844	34	1
path:hsa00650	Butanoate metabolism	0.6403286363184358	0.9990716253856844	28	1
path:hsa00670	One carbon pool by folate	0.518085128917254	0.9990716253856844	20	1
path:hsa00730	Thiamine metabolism	0.44223873398129593	0.9990716253856844	16	1
path:hsa00770	Pantothenate and CoA biosynthesis	0.5353829112987747	0.9990716253856844	21	1
path:hsa00790	Folate biosynthesis	0.6130226523858953	0.9990716253856844	26	1
path:hsa00830	Retinol metabolism	0.7058889301642339	0.9990716253856844	68	2
path:hsa00900	Terpenoid backbone biosynthesis	0.5520621391016701	0.9990716253856844	22	1
path:hsa00980	Metabolism of xenobiotics by cytochrome P450	0.9426599103131219	0.9990716253856844	78	1
path:hsa00982	Drug metabolism	0.7353225970627479	0.9990716253856844	72	2
path:hsa00983	Drug metabolism	0.7867222263299943	0.9990716253856844	80	2
path:hsa01100	Metabolic pathways	0.7835279425758573	0.9990716253856844	1496	49
path:hsa01200	Carbon metabolism	0.8005222326269147	0.9990716253856844	118	3
path:hsa01230	Biosynthesis of amino acids	0.9359577998867336	0.9990716253856844	75	1
path:hsa01240	Biosynthesis of cofactors	0.9779559589438918	0.9990716253856844	156	2
path:hsa01521	EGFR tyrosine kinase inhibitor resistance	0.7808126225024843	0.9990716253856844	79	2
path:hsa01522	Endocrine resistance	0.972592021091991	0.9990716253856844	98	1
path:hsa01523	Antifolate resistance	0.6777303822341538	0.9990716253856844	31	1
path:hsa01524	Platinum drug resistance	0.7422791531007426	0.9990716253856844	73	2
path:hsa03010	Ribosome	0.9970449129761771	0.9990716253856844	158	1
path:hsa03018	RNA degradation	0.7808126225024843	0.9990716253856844	79	2
path:hsa03020	RNA polymerase	0.6777303822341538	0.9990716253856844	31	1
path:hsa03320	PPAR signaling pathway	0.28885237083688886	0.9990716253856844	76	4
path:hsa03410	Base excision repair	0.700486058896894	0.9990716253856844	33	1
path:hsa03460	Fanconi anemia pathway	0.8613421815561315	0.9990716253856844	54	1
path:hsa04010	MAPK signaling pathway	0.6126102749327428	0.9990716253856844	294	10
path:hsa04015	Rap1 signaling pathway	0.48024525815096086	0.9990716253856844	210	8
path:hsa04020	Calcium signaling pathway	0.4920909384757739	0.9990716253856844	240	9
path:hsa04022	cGMP-PKG signaling pathway	0.5554121431249857	0.9990716253856844	167	6
path:hsa04060	Cytokine-cytokine receptor interaction	0.9101008806334118	0.9990716253856844	295	7
path:hsa04062	Chemokine signaling pathway	0.8237704600614926	0.9990716253856844	192	5
path:hsa04064	NF-kappa B signaling pathway	0.7257001652927059	0.9990716253856844	104	3
path:hsa04066	HIF-1 signaling pathway	0.3513495794799228	0.9990716253856844	109	5
path:hsa04068	FoxO signaling pathway	0.506816983959223	0.9990716253856844	131	5
