KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa00260	Glycine, serine and threonine metabolism	0.13055463314173543	0.4963120902344753	40	1
path:hsa00340	Histidine metabolism	0.07396938173444229	0.4963120902344753	22	1
path:hsa00480	Glutathione metabolism	0.18093765353028002	0.4963120902344753	57	1
path:hsa00511	Other glycan degradation	0.06092322250435568	0.4963120902344753	18	1
path:hsa00620	Pyruvate metabolism	0.15165079903377143	0.4963120902344753	47	1
path:hsa00630	Glyoxylate and dicarboxylate metabolism	0.09954165374735344	0.4963120902344753	30	1
path:hsa00900	Terpenoid backbone biosynthesis	0.07396938173444229	0.4963120902344753	22	1
path:hsa00980	Metabolism of xenobiotics by cytochrome P450	0.2393132673471757	0.4963120902344753	78	1
path:hsa00982	Drug metabolism	0.22305523966643542	0.4963120902344753	72	1
path:hsa00983	Drug metabolism	0.24465965741939225	0.4963120902344753	80	1
path:hsa01522	Endocrine resistance	0.2911811226767916	0.4963120902344753	98	1
path:hsa01524	Platinum drug resistance	0.2257878816211611	0.4963120902344753	73	1
path:hsa03010	Ribosome	0.42720359661972795	0.4963120902344753	158	1
path:hsa03040	Spliceosome	0.09625193781008184	0.4963120902344753	151	2
path:hsa03410	Base excision repair	0.1089553458623676	0.4963120902344753	33	1
path:hsa04010	MAPK signaling pathway	0.2730705164867285	0.4963120902344753	294	2
path:hsa04064	NF-kappa B signaling pathway	0.05022180566300489	0.4963120902344753	104	2
path:hsa04066	HIF-1 signaling pathway	0.054615131492219963	0.4963120902344753	109	2
path:hsa04068	FoxO signaling pathway	0.3694222350289013	0.4963120902344753	131	1
path:hsa04110	Cell cycle	0.06857071175792556	0.4963120902344753	124	2
path:hsa04114	Oocyte meiosis	0.3649264716456217	0.4963120902344753	129	1
path:hsa04120	Ubiquitin mediated proteolysis	0.389277833617258	0.4963120902344753	140	1
path:hsa04142	Lysosome	0.3626670667501295	0.4963120902344753	128	1
path:hsa04145	Phagosome	0.4148201652542944	0.4963120902344753	152	1
path:hsa04146	Peroxisome	0.24996996397808613	0.4963120902344753	82	1
path:hsa04210	Apoptosis	0.3805283714631117	0.4963120902344753	136	1
path:hsa04217	Necroptosis	0.42924288885143813	0.4963120902344753	159	1
path:hsa04260	Cardiac muscle contraction	0.26308939345951865	0.4963120902344753	87	1
path:hsa04261	Adrenergic signaling in cardiomyocytes	0.4106355401536526	0.4963120902344753	150	1
path:hsa04330	Notch signaling pathway	0.18667738602945907	0.4963120902344753	59	1
path:hsa04350	TGF-beta signaling pathway	0.2810870220759288	0.4963120902344753	94	1
path:hsa04380	Osteoclast differentiation	0.3626670667501295	0.4963120902344753	128	1
path:hsa04390	Hippo signaling pathway	0.42515731052377476	0.4963120902344753	157	1
path:hsa04514	Cell adhesion molecules	0.4085324697085904	0.4963120902344753	149	1
path:hsa04520	Adherens junction	0.22031333975268658	0.4963120902344753	71	1
path:hsa04610	Complement and coagulation cascades	0.034840429909009575	0.4963120902344753	85	2
path:hsa04612	Antigen processing and presentation	0.2393132673471757	0.4963120902344753	78	1
path:hsa04620	Toll-like receptor signaling pathway	0.30606756874842656	0.4963120902344753	104	1
path:hsa04630	JAK-STAT signaling pathway	0.10833048044271133	0.4963120902344753	162	2
path:hsa04640	Hematopoietic cell lineage	0.2936833073613538	0.4963120902344753	99	1
path:hsa04657	IL-17 signaling pathway	0.2810870220759288	0.4963120902344753	94	1
path:hsa04658	Th1 and Th2 cell differentiation	0.2759883644206018	0.4963120902344753	92	1
path:hsa04659	Th17 cell differentiation	0.3133977800952631	0.4963120902344753	107	1
path:hsa04666	Fc gamma R-mediated phagocytosis	0.28867042957556815	0.4963120902344753	97	1
path:hsa04668	TNF signaling pathway	0.325449900104737	0.4963120902344753	112	1
path:hsa04672	Intestinal immune network for IgA production	0.1575874442392423	0.4963120902344753	49	1
path:hsa04713	Circadian entrainment	0.28867042957556815	0.4963120902344753	97	1
path:hsa04720	Long-term potentiation	0.2092525579778763	0.4963120902344753	67	1
path:hsa04723	Retrograde endocannabinoid signaling	0.4064221959513972	0.4963120902344753	148	1
path:hsa04724	Glutamatergic synapse	0.33021365711968165	0.4963120902344753	114	1
path:hsa04725	Cholinergic synapse	0.3278358300015088	0.4963120902344753	113	1
path:hsa04726	Serotonergic synapse	0.3325834078370559	0.4963120902344753	115	1
path:hsa04727	GABAergic synapse	0.2682752366789329	0.4963120902344753	89	1
path:hsa04728	Dopaminergic synapse	0.3716586436171751	0.4963120902344753	132	1
path:hsa04730	Long-term depression	0.1895327525969387	0.4963120902344753	60	1
path:hsa04915	Estrogen signaling pathway	0.08254802183162188	0.4963120902344753	138	2
path:hsa04916	Melanogenesis	0.04765194461253392	0.4963120902344753	101	2
path:hsa04917	Prolactin signaling pathway	0.21756215181909727	0.4963120902344753	70	1
path:hsa04919	Thyroid hormone signaling pathway	0.06569094105331318	0.4963120902344753	121	2
path:hsa04921	Oxytocin signaling pathway	0.09950447894967593	0.4963120902344753	154	2
path:hsa04922	Glucagon signaling pathway	0.3133977800952631	0.4963120902344753	107	1
path:hsa04926	Relaxin signaling pathway	0.3649264716456217	0.4963120902344753	129	1
path:hsa04929	GnRH secretion	0.20085828104738615	0.4963120902344753	64	1
path:hsa04935	Growth hormone synthesis, secretion and action	0.34198217132307657	0.4963120902344753	119	1
path:hsa04310	Wnt signaling pathway	0.4433240220155676	0.5047073481408001	166	1
path:hsa04360	Axon guidance	0.47426810418108045	0.5238185031253725	182	1
path:hsa04621	NOD-like receptor signaling pathway	0.47238349027006976	0.5238185031253725	181	1
path:hsa03013	RNA transport	0.48174213813686206	0.5242487973842322	186	1
path:hsa04015	Rap1 signaling pathway	0.5244892306285732	0.560701489636127	210	1
path:hsa04024	cAMP signaling pathway	0.5346348864574709	0.560701489636127	216	1
path:hsa04810	Regulation of actin cytoskeleton	0.537970348164392	0.560701489636127	218	1
path:hsa04144	Endocytosis	0.5912815045213319	0.6077059907580356	252	1
path:hsa04151	PI3K-Akt signaling pathway	0.7180950324941711	0.7279319507475159	354	1
path:hsa01100	Metabolic pathways	0.7962216908086519	0.7962216908086519	1496	4
