KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa00010	Glycolysis / Gluconeogenesis	0.0464322139407216	0.9990902525271171	67	5
path:hsa00020	Citrate cycle (TCA cycle)	0.5920736606738755	0.9990902525271171	30	1
path:hsa00030	Pentose phosphate pathway	0.5920736606738755	0.9990902525271171	30	1
path:hsa00040	Pentose and glucuronate interconversions	0.263874309759514	0.9990902525271171	34	2
path:hsa00051	Fructose and mannose metabolism	0.2528774431749108	0.9990902525271171	33	2
path:hsa00052	Galactose metabolism	0.6041117666346552	0.9990902525271171	31	1
path:hsa00053	Ascorbate and aldarate metabolism	0.5920736606738755	0.9990902525271171	30	1
path:hsa00062	Fatty acid elongation	0.18754738384785205	0.9990902525271171	27	2
path:hsa00071	Fatty acid degradation	0.13156095396566825	0.9990902525271171	43	3
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.27987912769519385	0.9990902525271171	11	1
path:hsa00140	Steroid hormone biosynthesis	0.539480820231182	0.9990902525271171	61	2
path:hsa00190	Oxidative phosphorylation	0.9817677000617803	0.9990902525271171	133	1
path:hsa00230	Purine metabolism	0.5346565752694694	0.9990902525271171	130	4
path:hsa00240	Pyrimidine metabolism	0.5029522911340834	0.9990902525271171	57	2
path:hsa00270	Cysteine and methionine metabolism	0.18100639211876365	0.9990902525271171	50	3
path:hsa00280	Valine, leucine and isoleucine degradation	0.7622426713607181	0.9990902525271171	48	1
path:hsa00310	Lysine degradation	0.5570411840321234	0.9990902525271171	63	2
path:hsa00330	Arginine and proline metabolism	0.7827294388513899	0.9990902525271171	51	1
path:hsa00340	Histidine metabolism	0.4816912453198612	0.9990902525271171	22	1
path:hsa00350	Tyrosine metabolism	0.28586407675642195	0.9990902525271171	36	2
path:hsa00380	Tryptophan metabolism	0.7153246505807862	0.9990902525271171	42	1
path:hsa00410	beta-Alanine metabolism	0.5920736606738755	0.9990902525271171	30	1
path:hsa00450	Selenocompound metabolism	0.39808815094416206	0.9990902525271171	17	1
path:hsa00480	Glutathione metabolism	0.8185802105936028	0.9990902525271171	57	1
path:hsa00500	Starch and sucrose metabolism	0.28586407675642195	0.9990902525271171	36	2
path:hsa00510	N-Glycan biosynthesis	0.7761036130980363	0.9990902525271171	50	1
path:hsa00531	Glycosaminoglycan degradation	0.4330292203900645	0.9990902525271171	19	1
path:hsa00561	Glycerolipid metabolism	0.539480820231182	0.9990902525271171	61	2
path:hsa00562	Inositol phosphate metabolism	0.6376250399937538	0.9990902525271171	73	2
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.5261947929298574	0.9990902525271171	25	1
path:hsa00564	Glycerophospholipid metabolism	0.9473104194932452	0.9990902525271171	98	1
path:hsa00565	Ether lipid metabolism	0.7692767146006722	0.9990902525271171	49	1
path:hsa00590	Arachidonic acid metabolism	0.839144235941124	0.9990902525271171	61	1
path:hsa00600	Sphingolipid metabolism	0.7692767146006722	0.9990902525271171	49	1
path:hsa00601	Glycosphingolipid biosynthesis	0.18754738384785205	0.9990902525271171	27	2
path:hsa00603	Glycosphingolipid biosynthesis	0.3610045746803857	0.9990902525271171	15	1
path:hsa00604	Glycosphingolipid biosynthesis	0.3610045746803857	0.9990902525271171	15	1
path:hsa00620	Pyruvate metabolism	0.011764428287414804	0.9990902525271171	47	5
path:hsa00640	Propanoate metabolism	0.263874309759514	0.9990902525271171	34	2
path:hsa00650	Butanoate metabolism	0.5668936840264995	0.9990902525271171	28	1
path:hsa00770	Pantothenate and CoA biosynthesis	0.4659510111137616	0.9990902525271171	21	1
path:hsa00790	Folate biosynthesis	0.5401672455704041	0.9990902525271171	26	1
path:hsa00830	Retinol metabolism	0.5988426032223844	0.9990902525271171	68	2
path:hsa00860	Porphyrin and chlorophyll metabolism	0.12493656132469314	0.9990902525271171	42	3
path:hsa00900	Terpenoid backbone biosynthesis	0.4816912453198612	0.9990902525271171	22	1
path:hsa00910	Nitrogen metabolism	0.39808815094416206	0.9990902525271171	17	1
path:hsa00920	Sulfur metabolism	0.2580447399859169	0.9990902525271171	10	1
path:hsa00970	Aminoacyl-tRNA biosynthesis	0.5824839708838703	0.9990902525271171	66	2
path:hsa00980	Metabolism of xenobiotics by cytochrome P450	0.6734188297957742	0.9990902525271171	78	2
path:hsa00982	Drug metabolism	0.6301094275956527	0.9990902525271171	72	2
path:hsa01040	Biosynthesis of unsaturated fatty acids	0.18754738384785205	0.9990902525271171	27	2
path:hsa01100	Metabolic pathways	0.8678851988483768	0.9990902525271171	1496	38
path:hsa01200	Carbon metabolism	0.6795001781484123	0.9990902525271171	118	3
path:hsa01210	2-Oxocarboxylic acid metabolism	0.4330292203900645	0.9990902525271171	19	1
path:hsa01212	Fatty acid metabolism	0.5029522911340834	0.9990902525271171	57	2
path:hsa01230	Biosynthesis of amino acids	0.894480299921481	0.9990902525271171	75	1
path:hsa01240	Biosynthesis of cofactors	0.48663715504957994	0.9990902525271171	156	5
path:hsa01521	EGFR tyrosine kinase inhibitor resistance	0.4113709379179824	0.9990902525271171	79	3
path:hsa01522	Endocrine resistance	0.55382206180858	0.9990902525271171	98	3
path:hsa01523	Antifolate resistance	0.6041117666346552	0.9990902525271171	31	1
path:hsa01524	Platinum drug resistance	0.8879237623715144	0.9990902525271171	73	1
path:hsa02010	ABC transporters	0.7398341836714911	0.9990902525271171	45	1
path:hsa03008	Ribosome biogenesis in eukaryotes	0.839388018424444	0.9990902525271171	110	2
path:hsa03010	Ribosome	0.9914844244133971	0.9990902525271171	158	1
path:hsa03013	RNA transport	0.8023270147228093	0.9990902525271171	186	4
path:hsa03015	mRNA surveillance pathway	0.7887663063284871	0.9990902525271171	98	2
path:hsa03018	RNA degradation	0.4113709379179824	0.9990902525271171	79	3
path:hsa03020	RNA polymerase	0.6041117666346552	0.9990902525271171	31	1
path:hsa03022	Basal transcription factors	0.1451662912578489	0.9990902525271171	45	3
path:hsa03040	Spliceosome	0.9894583155304939	0.9990902525271171	151	1
