KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa04659	Th17 cell differentiation	0.004775403845732676	0.9243481657846749	107	11
path:hsa04710	Circadian rhythm	0.008441535760590639	0.9243481657846749	31	5
path:hsa00010	Glycolysis / Gluconeogenesis	0.7751387945633946	0.9999999964663522	67	2
path:hsa00020	Citrate cycle (TCA cycle)	0.12735053910729166	0.9999999964663522	30	3
path:hsa00030	Pentose phosphate pathway	0.3571481446277682	0.9999999964663522	30	2
path:hsa00040	Pentose and glucuronate interconversions	0.166884156879645	0.9999999964663522	34	3
path:hsa00053	Ascorbate and aldarate metabolism	0.7216015097333222	0.9999999964663522	30	1
path:hsa00062	Fatty acid elongation	0.31086966802645816	0.9999999964663522	27	2
path:hsa00100	Steroid biosynthesis	0.2015937721352739	0.9999999964663522	20	2
path:hsa00120	Primary bile acid biosynthesis	0.5151550034355437	0.9999999964663522	17	1
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.07417840437566155	0.9999999964663522	11	2
path:hsa00140	Steroid hormone biosynthesis	0.7287002948012415	0.9999999964663522	61	2
path:hsa00190	Oxidative phosphorylation	0.10240669160099962	0.9999999964663522	133	9
path:hsa00220	Arginine biosynthesis	0.6082688437825836	0.9999999964663522	22	1
path:hsa00230	Purine metabolism	0.4583340244843135	0.9999999964663522	130	6
path:hsa00240	Pyrimidine metabolism	0.9123346353245528	0.9999999964663522	57	1
path:hsa00250	Alanine, aspartate and glutamate metabolism	0.7935824342642324	0.9999999964663522	37	1
path:hsa00270	Cysteine and methionine metabolism	0.3460293785315575	0.9999999964663522	50	3
path:hsa00280	Valine, leucine and isoleucine degradation	0.3229340246442127	0.9999999964663522	48	3
path:hsa00290	Valine, leucine and isoleucine biosynthesis	0.15648525389854537	0.9999999964663522	4	1
path:hsa00310	Lysine degradation	0.9322289220817268	0.9999999964663522	63	1
path:hsa00330	Arginine and proline metabolism	0.6335368433879595	0.9999999964663522	51	2
path:hsa00340	Histidine metabolism	0.6082688437825836	0.9999999964663522	22	1
path:hsa00350	Tyrosine metabolism	0.4458375346346951	0.9999999964663522	36	2
path:hsa00410	beta-Alanine metabolism	0.7216015097333222	0.9999999964663522	30	1
path:hsa00430	Taurine and hypotaurine metabolism	0.37388580870773586	0.9999999964663522	11	1
path:hsa00440	Phosphonate and phosphinate metabolism	0.023198167711585522	0.9999999964663522	6	2
path:hsa00450	Selenocompound metabolism	0.03151699961478375	0.9999999964663522	17	3
path:hsa00480	Glutathione metabolism	0.4258258031890032	0.9999999964663522	57	3
path:hsa00500	Starch and sucrose metabolism	0.7845658013736678	0.9999999964663522	36	1
path:hsa00510	N-Glycan biosynthesis	0.3460293785315575	0.9999999964663522	50	3
path:hsa00511	Other glycan degradation	0.5353935423117675	0.9999999964663522	18	1
path:hsa00512	Mucin type O-glycan biosynthesis	0.14667724337861418	0.9999999964663522	32	3
path:hsa00513	Various types of N-glycan biosynthesis	0.8105028437201722	0.9999999964663522	39	1
path:hsa00514	Other types of O-glycan biosynthesis	0.5887756138498663	0.9999999964663522	47	2
path:hsa00520	Amino sugar and nucleotide sugar metabolism	0.8710791169578381	0.9999999964663522	48	1
path:hsa00532	Glycosaminoglycan biosynthesis	0.573379260580779	0.9999999964663522	20	1
path:hsa00561	Glycerolipid metabolism	0.7287002948012415	0.9999999964663522	61	2
path:hsa00562	Inositol phosphate metabolism	0.591751769949836	0.9999999964663522	73	3
