KEGG PATHWAY ID	KEGG PATHWAY NAME	P-value	FDR (BH-corrected)	#GENES IN PATHWAY	#GOI IN PATHWAY
path:hsa03010	Ribosome	3.981765603068153e-06	0.000784407823804426	158	18
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.0048194315431838814	0.4747140070036123	11	3
path:hsa00440	Phosphonate and phosphinate metabolism	0.014918713611764315	0.7571185927926858	6	2
path:hsa00564	Glycerophospholipid metabolism	0.015372966351120523	0.7571185927926858	98	8
path:hsa00010	Glycolysis / Gluconeogenesis	0.8956940131887641	0.9999997870274336	67	1
path:hsa00040	Pentose and glucuronate interconversions	0.6815810919732834	0.9999997870274336	34	1
path:hsa00051	Fructose and mannose metabolism	0.6706551789543833	0.9999997870274336	33	1
path:hsa00052	Galactose metabolism	0.6476708614555708	0.9999997870274336	31	1
path:hsa00062	Fatty acid elongation	0.5968014143011475	0.9999997870274336	27	1
path:hsa00071	Fatty acid degradation	0.7650167058193564	0.9999997870274336	43	1
path:hsa00100	Steroid biosynthesis	0.48956889801619063	0.9999997870274336	20	1
path:hsa00120	Primary bile acid biosynthesis	0.43532386657436184	0.9999997870274336	17	1
path:hsa00140	Steroid hormone biosynthesis	0.8721783049060533	0.9999997870274336	61	1
path:hsa00190	Oxidative phosphorylation	0.2816499085575955	0.9999997870274336	134	6
path:hsa00230	Purine metabolism	0.8091832729921662	0.9999997870274336	130	3
path:hsa00240	Pyrimidine metabolism	0.5567506064312444	0.9999997870274336	56	2
path:hsa00250	Alanine, aspartate and glutamate metabolism	0.7122400434352628	0.9999997870274336	37	1
path:hsa00260	Glycine, serine and threonine metabolism	0.38273527267968105	0.9999997870274336	40	2
path:hsa00270	Cysteine and methionine metabolism	0.49557873313435863	0.9999997870274336	50	2
path:hsa00280	Valine, leucine and isoleucine degradation	0.21055710521428322	0.9999997870274336	48	3
path:hsa00310	Lysine degradation	0.6212481256560098	0.9999997870274336	63	2
path:hsa00330	Arginine and proline metabolism	0.8206937859016333	0.9999997870274336	51	1
path:hsa00350	Tyrosine metabolism	0.7023618409954484	0.9999997870274336	36	1
path:hsa00380	Tryptophan metabolism	0.7569432003511638	0.9999997870274336	42	1
path:hsa00480	Glutathione metabolism	0.5664229038916111	0.9999997870274336	57	2
path:hsa00510	N-Glycan biosynthesis	0.49557873313435863	0.9999997870274336	50	2
path:hsa00511	Other glycan degradation	0.4540149620494336	0.9999997870274336	18	1
path:hsa00512	Mucin type O-glycan biosynthesis	0.11465480338980952	0.9999997870274336	36	3
path:hsa00513	Various types of N-glycan biosynthesis	0.7310276769681593	0.9999997870274336	39	1
path:hsa00514	Other types of O-glycan biosynthesis	0.4630552259885766	0.9999997870274336	47	2
path:hsa00520	Amino sugar and nucleotide sugar metabolism	0.21055710521428322	0.9999997870274336	48	3
path:hsa00561	Glycerolipid metabolism	0.32722500762898155	0.9999997870274336	61	3
path:hsa00562	Inositol phosphate metabolism	0.9148983296341453	0.9999997870274336	73	1
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.21137172818059025	0.9999997870274336	26	2
path:hsa00565	Ether lipid metabolism	0.4848755787899578	0.9999997870274336	49	2
