InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
ADH4,ADH4,GH04J099158,Enhancer,0,lnc-ADH4-3||L13714-346||ADH5||ENSG00000246090||LOC100507053,600.6656,Ensembl,REST||RCOR2||SP1||GABPA||KMT2B||NFE2||ZKSCAN8||TGIF2||FOXA2||ATF3||ZBTB25||ZBTB33||ZNF205||TFDP1||JUND||CREM||ZSCAN9||ZNF792||SAP130||KLF6||CHD4||HNF4A||TCF7L2||IKZF5||RXRA||THAP11||ZNF3||DMAP1||ARID4B||NFE2L2||KDM1A||MAX||KDM3A||KLF16||YY1||ATF1||RBPJ||CREB1||ERF||MNT||KAT8||ZNF24,491
ADH4,ADH4,GH04J099157,Enhancer,0,lnc-ADH4-3||L13714-346||ADH5||ENSG00000272777||ENSG00000246090||LOC100507053,600.6656,ENCODE,GATAD2A||ATF7||REST||TFE3||SOX13||NFKBIZ||RCOR2||RXRB||IRF2||SP1||GABPA||CEBPA||FOXK2||KMT2B||ETS1||TCF7||FOXA1||ZKSCAN8||FOXA2||SMARCC2||MAFF||ATF3||YY1||CREB1||EP300||ZBTB25||MAFK||ZBTB33||ZNF205||TEAD1||KDM6A||JUND||HHEX||CREM||NR2F2||FOXP1||TBX3||RFX5||ZSCAN9||ZNF792||SAP130||TBP||MIER3||GABPB1||ZNF511||KLF6||ZGPAT||DNMT3B||GATAD1||RAD21||FOSL2||ATM||CEBPB||SMAD4||BCL6||HOMEZ||HNF4A||CHD4||NFIL3||TCF7L2||IKZF5||RXRA||THAP11||ZNF3||RARA||NFIA||DMAP1||THRB||ARID4B||MAX||ETV4||KDM1A||TEAD3||HMG20A||NR2F6||HDAC2||KDM3A||KLF16||MIER2||HNF4G||SOX5||LCORL||HLF||ARID3A||ATF1||NFYC||SMARCE1||RBPJ||ELF1||GATA4||BHLHE40||ELF3||FOXA3||MLX||CEBPG||MIXL1||ZNF652||PPARG||HMG20B||ZNF384||ZNF24||HNF1A||SP5||JUN||ERF||MNT||KAT8||RERE,193
ADH4,ADH4,GH04J099152,Enhancer,0,L13714-346||lnc-ADH4-3||ADH5||ADH6||ENSG00000246090||LOC100507053,0.4424177,ENCODE,HNF4A,5533
ADH4,ADH4,GH04J099147,Enhancer,1,L13714-346||piR-45032-005||lnc-ADH4-3||ADH5||ENSG00000246090||LOC100507053||ADH6,13.02284,ENCODE,YY1,9029
ADH4,ADH4,GH04J099151,Enhancer,0,L13714-346||lnc-ADH4-3||ADH5||ENSG00000246090||LOC100507053,0.4424177,ENCODE,,6101
ADH4,ADH4,GH04J099143,Promoter/Enhancer,2,piR-45032-005||lnc-ADH4-3||piR-38351-350||ADH5||ENSG00000246090||LOC100507053||ADH6||ADH1A,617.4854,Ensembl||EPDnew||ENCODE,GATAD2A||REST||ZNF7||RBFOX2||RXRB||SP1||CEBPA||FOXK2||SOX13||TCF7||ZKSCAN8||FOXA2||ATF3||YY1||EP300||ZBTB33||JUND||CREM||FOXP1||SAP130||TBP||POLR2A||ZGPAT||RAD21||DRAP1||CEBPB||HNF4A||TFAP4||NFIL3||RXRA||THAP11||MAX||ETV4||HMG20A||KLF16||HNF4G||SOX5||HLF||FOXA1||ARID3A||ZNF580||TAF1||ELF1||ELF3||FOXA3||CEBPG||HMG20B||CREB1||ERF||KAT8,13424
ADH4,ADH4,GH04J099180,Enhancer,5,lnc-METAP1-6||piR-32380-026||ADH6||ENSG00000246090||LOC100507053||ENSG00000272777,12.28919,Ensembl||ENCODE,SCRT2||CEBPB||ZNF316||OSR2||FEZF1||NFIB,-23036
ADH4,ADH4,GH04J099202,Enhancer,9,piR-31292-149||ADH6||lnc-ADH1A-1||PCNAP1||ADH1A||ENSG00000246090||LOC100507053||ADH1C,18.02316,Ensembl||ENCODE,FOXA2||NR2F2||RAD21||CTCF||FOXA3||RXRA,-45009
ADH4,ADH4,GH04J099204,Enhancer,9,piR-31292-149||ADH6||lnc-ADH1A-1||PCNAP1||ENSG00000246090||LOC100507053,20.44905,Ensembl||ENCODE,CEBPA||SOX13||CTCF||JUND||RAD21||CEBPB||BCL6||CHD4||HNF4A||RXRA||KDM1A||SMARCA4||NR2F6||HLF||ARID3A||SMC3||CEBPG||PPARG||SP1,-47709
ADH4,ADH4,GH04J099108,Enhancer,6,piR-33905-067||piR-47086-217||ENSG00000246090||LOC100507053||ADH5,4.783018,Ensembl,,48891
ADH4,ADH4,GH04J099120,Enhancer,5,piR-38351-348||piR-47086-217||ENSG00000272777||LOC100507053||ADH5||ENSG00000246090,13.03762,Ensembl,,36891
ADH4,ADH4,GH04J099119,Enhancer,5,piR-38351-348||piR-47086-217||ADH5||ENSG00000246090||LOC100507053,0.28545,Ensembl,CTCF||RAD21||SMC3||ZNF384,39691
ADH4,ADH4,GH04J099207,Enhancer,9,piR-31292-149||ADH6||lnc-ADH1A-1||PCNAP1||ENSG00000246090||LOC100507053||ENSG00000272777,17.20524,Ensembl,CEBPB||CEBPG||ATF4||MEIS2||NANOG,-50209
ADH4,ADH4,GH04J099209,Enhancer,9,ADH6||lnc-ADH1A-1||piR-31292-149||PCNAP1||ADH1A||LOC100507053||ENSG00000246090,18.31223,Ensembl,,-52408
ADH4,ADH4,GH04J099218,Enhancer,10,ADH6||lnc-ADH1A-1||ADH1A||ENSG00000246090||LOC100507053||ENSG00000272777,0.2130602,Ensembl||ENCODE,GATAD2A||REST||RCOR2||RBFOX2||RXRB||IRF2||SP1||CEBPA||SOX13||TCF7||ZKSCAN8||FOXA2||YY1||ZNF205||TEAD1||KDM6A||JUND||CREM||ZSCAN9||SAP130||TBP||POLR2A||KLF6||ZGPAT||GATAD1||RAD21||DRAP1||BCL6||HOMEZ||CHD4||HNF4A||RXRA||PAF1||THAP11||NFIA||ETV4||KDM1A||HMG20A||MIER2||HNF4G||SOX5||ARID3A||TAF1||ELF3||FOXA3||CEBPG||CEBPB||MIXL1||SPI1||CREB1||HNF1A||ERF||KAT8,-61537
ADH4,ADH4,GH04J099221,Enhancer,11,ADH6||ADH1A||ENSG00000246090||LOC100507053,4.746286,Ensembl,GATAD2A||SP1||CEBPA||RAD21||CEBPB||NFIL3||HNF4A||HLF||CEBPG||ZNF652||ZNF384||RXRA,-64609
ADH4,ADH4,GH04J099086,Promoter/Enhancer,8,ADH5||ENSG00000246090||LOC100507053||lnc-ADH4-2||piR-37809-004||ENSG00000272777,13.66004,Ensembl||EPDnew||ENCODE||CraniofacialAtlas,SP1||GATAD2A||TFE3||LEF1||SOX13||IKZF1||POLR2A||BACH1||ZHX2||LARP7||GABPA||PRDM1||RBFOX2||MTA1||PATZ1||SMAD5||ZNF740||REST||IKZF2||BRD9||ZNF501||ZNF24||ELF4||DPF2||HDAC1||YY1||FOXJ2||ZFX||GATAD2B||CEBPA||SCRT2||KMT2B||NRF1||CEBPB||KLF9||MGA||ZBTB20||TAF1||SIN3A||ZSCAN29||SP2||GTF2E2||RAD21||ELK1||CBX3||UBTF||ZNF184||ZNF766||RELB||KLF7||CTBP1||RUNX3||TAF9B||ZBTB26||FOXA2||TGIF2||HDAC2||NFRKB||ZBTB40||KAT7||ZBTB11||MEF2D||KLF4||MAX||ZBTB25||MNT||MYC||ZNF205||ZNF423||EP400||JUND||ARNT||CREM||NCOR1||ELF1||FOXP1||TBX3||NFIC||NBN||ZC3H8||HCFC1||ZNF792||BCOR||SAP130||TBP||ZNF189||CEBPG||TFDP1||ZNF335||MIER3||PHF8||BHLHE40||CHD1||GABPB1||KLF6||ZGPAT||MXD4||SMARCA5||GATAD1||DRAP1||ZFP91||MAZ||CBX1||SUPT5H||ADNP||HLTF||KLF5||HNF4A||MXI1||KLF11||VEZF1||TBL1XR1||FOXK2||NFIL3||IKZF5||STAT5A||RXRA||ZBTB7B||PAF1||ATF3||KLF1||ATF2||THAP11||ETV1||RARA||DMAP1||GLIS1||TBX21||NFE2||ZNF2||ARID4B||NFATC3||ETV4||MEIS2||DIDO1||TEAD3||NFATC1||MLLT1||KDM3A||SMARCA4||TAF7||MTA3||SP3||ZNF48||KDM1A||SMARCE1||MXD3||HLF||ZNF580||ZNF579||HBP1||RLF||L3MBTL2||TEAD4||GATA4||NKRF||ELF3||FOXA3||ZNF687||RNF2||MIXL1||POLR2B||ZNF148||ZBTB6||TRIM24||PPARG||CSDE1||ARID1B||MCM2||HNF1A||GTF2F1||ZNF121||GLIS2||SP5||PML||ERF||GMEB1||GMEB2||KAT8||RERE||AHR,68524
ADH4,ADH4,GH04J098994,Promoter/Enhancer,17,MIR3684||METAP1||RNU7-149P||ADH5||ENSG00000246090||EIF4E||ENSG00000263923||ENSG00000272777||ADH1A,4.505484,Ensembl||EPDnew||ENCODE||CraniofacialAtlas,GATAD2A||CTCF||ZBTB33||PRDM10||IKZF1||NFKBIZ||POLR2A||BACH1||ETV6||JUND||FOXA1||MTA2||ZNF143||PHF21A||ZIC2||RBFOX2||PKNOX1||ZNF24||PATZ1||REST||SMAD5||RAD21||IRF2||ZNF740||IKZF2||SP1||BRD9||ZNF501||TRIM22||ELF4||DPF2||HDAC1||GTF2F1||FUS||YY1||IRF3||SOX6||ZNF341||GATAD2B||EP300||SCRT2||KMT2B||NRF1||SOX13||NONO||KLF9||TAF1||SIN3A||ZSCAN29||SP2||ELK1||CBX3||UBTF||NKRF||HMBOX1||MTA3||EGR1||ZXDB||CTBP1||TAF9B||ZKSCAN8||DEAF1||HDAC2||ZNF444||KDM4B||E2F5||ZNF316||BCLAF1||CHD2||FOXA2||NFRKB||LEF1||KAT7||ZBTB48||MEF2D||ZBTB26||ZNF592||SMC3||AFF1||ZBTB17||MNT||MYC||ZKSCAN1||ZNF423||EP400||TRIM28||TRIM24||TARDBP||SCRT1||TFDP1||NCOR1||MIER1||MAX||PCBP1||MAZ||MXI1||ELF1||TRIM25||ZBTB11||USF2||ARNT||WT1||HDGF||ZC3H8||ZFHX2||HCFC1||BCOR||ZNF792||SAP130||TBP||GATA3||ZNF207||ZNF610||BHLHE40||GABPB1||SPI1||ZGPAT||MXD4||ZNF384||SMARCA5||ZFP69B||GATAD1||SKIL||STAT1||WRNIP1||ZNF654||CREM||ZNF513||ATF4||CBX1||SMAD4||NR2F6||BCL6||RB1||SUPT5H||ADNP||HOMEZ||ZNF407||TFAP4||CHAMP1||CHD4||VEZF1||NFIL3||IKZF5||ATF3||THAP11||ID3||DMAP1||GLIS1||NBN||ZNF398||ZNF2||ARID4B||FOS||KLF16||YY2||TEAD3||MLLT1||KDM3A||XRCC5||TAF7||SP3||ZNF48||ATF2||KDM1A||SMARCE1||ZNF217||ZBTB40||TBL1XR1||ZNF197||ZNF580||ZNF579||RUNX1||L3MBTL2||RBPJ||RBM39||ELF3||CBFA2T2||FOXA3||ATF7||NFXL1||RNF2||ZFX||GATA2||POLR2B||ZNF148||DACH1||ARID1B||SP7||CC2D1A||E2F1||GLIS2||EMSY||ZNF639||JUN||RXRA||ZBTB8A||PML||ERF||ARID2||GMEB1||KAT8||ATF1||SMARCA4||ZNF83||ZEB2,160967
ADH4,ADH4,GH04J099309,Enhancer,13,lnc-C4orf17-3||piR-47464||ADH1A||ADH1B||ADH1C||PCNAP1||ENSG00000246090,11.19663,Ensembl,CREB1,-152409
ADH4,ADH4,GH04J099381,Enhancer,26,piR-57133-461||LOC102723576||lnc-ADH7-1||ADH1B||ADH1C||ADH7||ADH1A||ADH6||ENSG00000246090,34.80786,FANTOM5,YY1||SP1,-223354
ADH4,ADH4,GH04J099351,Enhancer,16,ADH1B||ADH1C||lnc-ADH1A-2||piR-45726-029||ADH1A||ADH6,16.45397,FANTOM5,FOXA2,-193757
