InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AEBP2,AEBP2,GH12J019401,Promoter/Enhancer,0,PDCD5P1||piR-61945-091||LOC112268092||lnc-AEBP2-1,600.6656,Ensembl||FANTOM5||ENCODE||EPDnew,ZNF692||RXRB||ZNF600||CEBPA||SOX13||NR3C1||ZBTB11||NFIC||NFIB||CEBPB||SMAD4||BCL6||TFAP4||ZNF223||ZNF843||NFIL3||NFIA||THRB||ZBTB33||TEAD3||MIER2||SOX5||LCORL||HLF||CEBPG,-489
AEBP2,AEBP2,GH12J019397,Enhancer,0,piR-61945-091||LOC112268092||lnc-AEBP2-1,0.4424177,Ensembl||ENCODE||FANTOM5,,-6344
AEBP2,AEBP2,GH12J019409,Enhancer,0,PDCD5P1||lnc-AEBP2-1||PDE3A,0.4424177,Ensembl||ENCODE||CraniofacialAtlas,NRF1||ZNF316||MAFF||MAFK||MAFG||TRIM28||NANOG||POU5F1||EMSY,6584
AEBP2,AEBP2,GH12J019413,Enhancer,2,PDCD5P1||lnc-PLEKHA5-5||ENSG00000271462||lnc-PLCZ1-4||lnc-AEBP2-1||PDE3A,0.4424177,FANTOM5,,9179
AEBP2,AEBP2,GH12J019412,Promoter,0,PDCD5P1||lnc-PLEKHA5-5||lnc-AEBP2-1||PDE3A,0.4424177,Ensembl,,8955
AEBP2,AEBP2,GH12J019386,Enhancer,0,piR-61945-091||PDCD5P1||lnc-AEBP2-1||LOC112268092,0.3721704,Ensembl||ENCODE,ZNF512||CEBPB||PKNOX1||FOS||JUND||ZNF384,-15235
AEBP2,AEBP2,GH12J019420,Enhancer,4,ENSG00000271462||lnc-PLCZ1-4||PDCD5P1||piR-32214-113||lnc-AEBP2-1||PDE3A,0.3721704,Ensembl,CEBPA||KDM1A,17756
AEBP2,AEBP2,GH12J019381,Enhancer,1,piR-61945-091||piR-56759-106||LOC112268092||lnc-AEBP2-1,0.3504288,Ensembl||ENCODE,PRDM1||PKNOX1||SCRT2||RELB||JUND||FOS||POLR2A||FOSL2||JUNB||BATF||TAF1||BCL6B||IKZF1||ZBED1,-21908
AEBP2,AEBP2,GH12J019382,Enhancer,1,piR-61945-091||piR-56759-106||LOC112268092||lnc-AEBP2-1,0.3504288,FANTOM5,,-22792
AEBP2,AEBP2,GH12J019428,Enhancer,4,ENSG00000271462||piR-32214-113||lnc-PLCZ1-4||lnc-AEBP2-1||PDE3A,0.3504288,Ensembl,GATA3||SPI1||CEBPB||POLR2A||MYC||MAX||SREBF1,24256
AEBP2,AEBP2,GH12J019430,Enhancer,4,piR-32214-113||ENSG00000271462||lnc-PLCZ1-4||lnc-AEBP2-1||PDE3A,0.3222245,Ensembl||ENCODE||dbSUPER,ZNF692||FOXA1||RFX1||FOXJ2||PKNOX1||ZFX||ATF7||EED||CEBPB||JUND||CTBP1||JUN||ATF2||CUX1||NFIC||EP300||ZFHX2||ZNF189||GATA3||JUNB||STAT1||BATF||TCF7L2||NFIB||TRIM28||TAF1||MTA3||HLF||NFE2L2||ZNF121||ETV6,28282
AEBP2,AEBP2,GH12J019457,Enhancer,10,EEF1A1P4||piR-53853-001||piR-48118-003||RF00017-1107||PDCD5P1||lnc-AEBP2-1||PDE3A,0.2318865,Ensembl,EGR1||ZNF18||HDAC2||KDM1A||KLF1||CBFA2T3||MLLT1,55656
AEBP2,AEBP2,GH12J019451,Enhancer,7,RNU6-254P||RF00026-225||piR-53853-001||lnc-AEBP2-1||PDE3A,0.2539792,ENCODE,PRDM4||MAFK,47497
AEBP2,AEBP2,GH12J019436,Enhancer,5,piR-32214-113||RNU6-254P||RF00026-225||lnc-AEBP2-1||PDE3A,0.3032577,Ensembl||ENCODE,STAT1,32056
AEBP2,AEBP2,GH12J019369,Enhancer,1,piR-61945-091||piR-56759-106||lnc-AEBP2-1||LOC112268092||PLEKHA5,0.3032577,Ensembl||ENCODE,,-33882
AEBP2,AEBP2,GH12J019439,Enhancer,5,piR-32214-113||RNU6-254P||RF00026-225||lnc-AEBP2-1||PDE3A,0.3032577,ENCODE||dbSUPER,STAT1,33037
AEBP2,AEBP2,GH12J019434,Enhancer,5,piR-32214-113||RF00026-225||RNU6-254P||lnc-AEBP2-1||PDE3A,0.3032577,Ensembl,PKNOX1||RUNX3||NFE2||MYC||MAX,30656
AEBP2,AEBP2,GH12J019446,Promoter,7,RF00026-225||RNU6-254P||piR-53853-001||lnc-AEBP2-1||PDE3A,0.2732973,Ensembl,,42856
AEBP2,AEBP2,GH12J019445,Promoter,5,RF00026-225||RNU6-254P||piR-32214-113||lnc-AEBP2-1||PDE3A,0.2732973,Ensembl,OSR2,41056
